"cowcode","location","asciiname","longitude","latitude","event_date","side","numreports","max_scope","max_partviolence","max_secengagement","mean_avg_numparticipants","any_accessible","blocked","ooni_ratio","ooni","ioda_number","ioda","physical","year","imf_democ_exp","imf_autoc_exp","imf_democ_imp","imf_autoc_imp","imf_democ_trade","imf_autoc_trade","All_NGO","Global_NGO","National_ngo","gdp","tourism","military","oil","oda","remittances","filter_cap","shut_cap"
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-17,1,1,0,1,2,2000,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-20,1,1,0,NA,NA,2000,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-22,1,1,0,NA,NA,2000,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-27,1,2,0,3,1,200,NA,NA,NA,NA,0,0,0,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-10-28,1,1,0,NA,NA,2000,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-11-18,1,1,0,2,NA,200,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2019-11-19,1,1,0,NA,NA,25,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718962,"Tigwav",-72.86521,18.43117,2018-07-07,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718962,"Tigwav",-72.86521,18.43117,2018-07-08,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718962,"Tigwav",-72.86521,18.43117,2018-11-18,1,1,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3719028,"Petionville",-72.28528,18.5125,2016-08-29,1,1,0,NA,1,2000,NA,NA,NA,NA,0,0,0,2016,2756286.71428571,638529,13038381.0322581,25666171.3913043,-8351757.38157895,-14215298.9,2,1,3,14069277526.2278,511000000,0.0482249983187593,0,7.59132140450641,15.8295930130992,1,1
"HT",3719028,"Petionville",-72.28528,18.5125,2018-07-07,1,1,0,1,1,200,NA,NA,NA,NA,0,0,0,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3719028,"Petionville",-72.28528,18.5125,2018-07-08,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3719028,"Petionville",-72.28528,18.5125,2018-11-18,1,1,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3719028,"Petionville",-72.28528,18.5125,2019-02-09,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3719028,"Petionville",-72.28528,18.5125,2019-02-11,1,2,0,1,2,200,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3722286,"Yaguana",-72.63343,18.5111,2019-10-17,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3723779,"Jacmel",-72.53539,18.23427,2018-07-07,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3723779,"Jacmel",-72.53539,18.23427,2018-07-08,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3723779,"Jacmel",-72.53539,18.23427,2019-06-10,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3724233,"Gressier",-72.52679,18.54091,2019-10-17,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3724696,"Gonaives",-72.68928,19.44755,2019-06-10,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3726786,"Delmas 73",-72.30278,18.54472,2019-10-16,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3728097,"Les Cayes",-73.74601,18.19331,2016-11-01,1,1,0,1,3,NA,NA,NA,NA,NA,0,0,1,2016,2756286.71428571,638529,13038381.0322581,25666171.3913043,-8351757.38157895,-14215298.9,2,1,3,14069277526.2278,511000000,0.0482249983187593,0,7.59132140450641,15.8295930130992,1,1
"HT",3728097,"Les Cayes",-73.74601,18.19331,2016-11-02,1,1,0,1,NA,200,NA,NA,NA,NA,0,0,NA,2016,2756286.71428571,638529,13038381.0322581,25666171.3913043,-8351757.38157895,-14215298.9,2,1,3,14069277526.2278,511000000,0.0482249983187593,0,7.59132140450641,15.8295930130992,1,1
"HT",3728097,"Les Cayes",-73.74601,18.19331,2018-07-07,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3728097,"Les Cayes",-73.74601,18.19331,2018-10-17,1,1,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3728474,"Okap",-72.19815,19.75938,2018-07-07,1,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3728474,"Okap",-72.19815,19.75938,2018-07-08,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3728474,"Okap",-72.19815,19.75938,2018-10-17,1,1,0,2,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3728474,"Okap",-72.19815,19.75938,2018-11-18,1,1,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3728474,"Okap",-72.19815,19.75938,2019-06-10,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3731087,"Arcahaie",-72.91667,19.81667,2017-04-07,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,2017,NA,NA,NA,NA,-10101271.8961039,-15770576.5348837,3,1,3,15093357161.1498,460000000,0.0492694869004829,0,6.47610060865604,16.028014165291,1,1
"HT",3731087,"Arcahaie",-72.91667,19.81667,2017-04-08,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,2017,NA,NA,NA,NA,-10101271.8961039,-15770576.5348837,3,1,3,15093357161.1498,460000000,0.0492694869004829,0,6.47610060865604,16.028014165291,1,1
"HT",3731095,"Aquin",-73.39433,18.27974,2019-02-12,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3740007,"Cite Soleil",-72.33806,18.58028,2019-09-27,1,2,0,1,2,200,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
